item_key,ingredient,qty_per_portion,unit
item_052,Espagueti seco,0.08,kg
item_052,Tomate frito,0.1,kg
item_053,Pan,1.0,unit
item_053,Carne mezcla cerdo/ternera (90g),0.09,kg
item_053,Queso lonchas/manchego,0.02,kg
item_054,Pan,1.0,unit
item_054,Salchicha,0.08,kg
item_054,Salsas (burger/mayo/ketchup),0.02,kg
item_055,Cerveza barril,0.5,L
item_056,Cerveza barril,0.33,L
item_057,Cerveza barril,0.568,L
item_058,"Cerveza botella 0,33–0,5",1.0,unit
item_059,"Cerveza botella 0,33–0,5",1.0,unit
item_060,"Cerveza botella 0,33–0,5",1.0,unit
item_061,"Cerveza botella 0,33–0,5",1.0,unit
item_062,"Cerveza botella 0,33–0,5",1.0,unit
item_063,"Cerveza botella 0,33–0,5",1.0,unit
item_064,"Cerveza botella 0,33–0,5",1.0,unit
item_065,"Sidra 0,5 L",1.0,unit
item_066,"Sidra 0,5 L",1.0,unit
item_072,"Refresco 0,5 L",1.0,unit
item_073,"Refresco 0,5 L",1.0,unit
item_074,"Refresco 0,5 L",1.0,unit
item_069,"Agua 0,5 L",1.0,unit
item_070,"Agua 1,5 L",1.0,unit
item_071,Agua con gas,1.0,unit
item_075,Café molido,0.016,kg
item_075,Leche,0.18,L
item_076,Café molido,0.014,kg
item_076,Leche,0.1,L
item_077,Café molido,0.014,kg
item_077,Leche,0.2,L
item_078,Café molido,0.014,kg
item_080,Café molido,0.014,kg
item_081,Café molido,0.016,kg
item_079,Leche,0.2,L
item_082,Vino (botella),0.15,L
item_083,Vino (botella),0.15,L
item_084,Vino (botella),0.15,L
item_085,Vino (botella),0.2,L
item_085,"Refresco 0,5 L",0.3,unit
item_086,Vino (botella),0.75,L
item_087,Vino (botella),0.75,L
item_088,Vino (botella),0.75,L
item_089,Vino (botella),0.75,L
item_090,Vino (botella),0.75,L
item_091,Vino (botella),0.75,L
item_092,Vino (botella),0.75,L
item_093,Ron (L),0.05,L
item_093,Azúcar,0.01,kg
item_093,Lima/limón,0.05,kg
item_093,Soda,0.2,L
item_093,Menta fresca,0.01,kg
item_093,Hielo,0.2,kg
item_094,Ron (L),0.05,L
item_094,Azúcar,0.01,kg
item_094,Lima/limón,0.06,kg
item_094,Hielo,0.2,kg
item_095,Tequila (L),0.05,L
item_095,Zumo naranja,0.2,L
item_095,Hielo,0.2,kg
item_096,Ron (L),0.05,L
item_096,Zumo piña,0.2,L
item_096,Hielo,0.2,kg
item_097,Zumo naranja,0.15,L
item_097,Zumo melocotón,0.15,L
item_097,Hielo,0.2,kg
item_098,Azúcar,0.01,kg
item_098,Lima/limón,0.05,kg
item_098,Soda,0.2,L
item_098,Menta fresca,0.01,kg
item_098,Hielo,0.2,kg
item_099,Vodka (L),0.05,L
item_099,Zumo naranja,0.1,L
item_099,Zumo melocotón,0.1,L
item_099,Hielo,0.2,kg
item_100,Ginebra (L),0.05,L
item_100,Zumo piña,0.2,L
item_100,Hielo,0.2,kg
